Meridian,Point Code,Point Name (pinyin),Chinese Name (hanzi),Location Description,Indications,Category,Element,Sex-specific Notes,Source
GB,GB41,Zulinqi,足臨(临)泣,"On the dorsum of the foot, distal to the junction of the bases of the fourth and fifth metatarsal bones, in the depression lat-eral to the fifth extensor digitorum longus tendon.",,,Wood,,
GB,GB42,Diwuhui,地五會(会),"On the dorsum of the foot, between the fourth and fifth metatarsal bones, in the depression proximal to the fourth metatar-sophalangeal joint.GB41 GB42junction of the bases of the4th and 5thmetatarsalbonesﬁfth extensordigitorumlongustendon metatarsalbone metatarsalbone 4th metatarsophalangeal joint WHO Standard aCUPUnCtUrE POInt LOCat IOnS 193",,,Wood,,
GB,GB43,Xiaxi,俠(侠)谿(溪),"On the dorsum of the foot, between the fourth and fifth toes, proximal to the web margin, at the border between the red and white flesh.",,,Wood,,
GB,GB44,Zuqiaoyin,足竅(窍)陰(阴),"On the fourth toe, lateral to the distal phalanx, 0.1 f-cun proximal to the lateral corner of the toenail, at the intersection of the vertical line of the lateral side of the nail and the horizontal line of the base of the fourth toenail. GB43 GB44border betweenred and white ﬂesh WHO Standard aCUPUnCtUrE POInt LOCat IOnS 195 LIVEr MErIdIan 足厥陰(阴)肝經(经,経) Liver Meridian 196 LR1: Dadun 大敦 On the great toe, lateral to the distal pha- lanx, 0.1 f-cun proximal to the lateral corner of the toenail, at the intersection of the vertical line of the lateral side of the nail and the horizontal line of the base of the toenail. LR2: Xingjian 行間(间) On the dorsum of the foot, between the first and second toes, proximal to the web margin, at the border between the red and white flesh.LR1 LR2border betweenred and white ﬂesh WHO Standard aCUPUnCtUrE POInt LOCat IOnS 197 LR3: Taichong 太衝(冲) On the dorsum of the foot, between the first and second metatarsal bones, in the de-pression distal to the junction of the bases of the two bones, over the dorsalis pedis artery. when moving proximally from Lr2 in the gap between the first and second metatarsal bones towards the base of two metatarsal bones. LR4: Zhongfeng 中封 On the anteromedial aspect of the ankle, in the depression medial to the tibialis anteri-or tendon, anterior to the medial malleolus. and St41.LR3 LR4dorsalis pedis artery metatarsalbone tibialis anterior tendon medial malleolus Liver Meridian 198 LR5: Ligou 蠡溝(沟) On the anteromedial aspect of the leg, at the centre of the medial border (surface) of the tibia, 5 B-cun proximal to the promi - nence of the medial malleolus. the upper two thirds and lower one third of the line connecting the apex of the patella with the prominence of the medial mal-leolus, at the centre of the medial border (surface) of the tibia, at the same level as KI9. LR6: Zhongdu 中都(都) On the anteromedial aspect of the leg, at the centre of the medial border (surface) of the tibia, 7 B-cun proximal to the promi-nence of the medial malleolus. to the midpoint of the line connecting the apex of the patella with the prominence of the medial malleolus, at the centre of the medial border (surface) of the tibia. LR5 LR6apex of the patella tibia prominence of the medial malleolus apex of the patella tibia prominence of themedial malleolus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 199 LR7: Xiguan 膝關(关,関) On the tibial aspect of the leg, inferior to the medial condyle of the tibia, 1 B-cun posterior to SP9. LR8: Ququan 曲泉 On the medial aspect of the knee, in the depression medial to the tendons of the semitendinosus and the semimembranosus muscles, at the medial end of the popliteal crease. cated in the depression medial to the most prominent tendon on the medial end of the popliteal crease.LR7 LR8medial condyle of the tibia tendon of thesemimembranosusmuscle tendon of thesemitendinosusmuscle popliteal crease Liver Meridian 200 LR9: Yinbao 陰(阴)包(包) On the medial aspect of the thigh, between the gracilis and the sartorius muscles, 4 B-cun proximal to the base of the patella. ducted and with the muscle under tension, the sartorius muscle becomes more distinct. Lr 9 is located posterior to the sartorius muscle. LR10: Zuwuli 足五里 On the medial aspect of the thigh, 3 B-cun distal to St30, over the artery. LR9 LR10patellasartorius musclegracilis musclegracilis musclesartorius muscle femoral artery WHO Standard aCUPUnCtUrE POInt LOCat IOnS 201 LR11: Yinlian 陰(阴)廉 On the medial aspect of the thigh, 2 B-cun distal to St30. ductor longus muscle. When the thigh is adducted against resistance with the hip slightly flexed and abducted, the knee flexed, the adductor longus muscle be - comes more distinct. LR12: Jimai 急脈(脉) In the groin region, at the same level as the superior border of the pubic symphysis, and 2.5 B-cun lateral to the anterior median line. LR11 LR12adductor longusmuscle pubic symphysis Liver Meridian 202 LR13: Zhangmen 章門(门) On the lateral abdomen, inferior to the free extremity of the 11th rib. ject is lying on the side with the shoulder flexed. The free extremity of the 11th rib can be palpated below the inferior border of the costal arch. LR14: Qimen 期門(门) In the anterior thoracic region, in the sixth intercostal space, 4 B-cun lateral to the anterior median line. nipple, 2 B-cun lateral to St19. In females, Lr14 is located at the intersection of the midclavicular line and the sixth intercostal space. LR13 LR14 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 203 gOVErnOr VESSEL 督脈(脉) governor Vessel 204",,,Wood,,
GV,GV1,Changqiang,長(长)強,"In the perineal region, inferior to the coc- cyx, midway between the tip of the coccyx and the anus. or knee-chest position.",,,,,
GV,GV2,Yaoshu,腰兪(俞),"In the sacral region, at the sacral hiatus, on the posterior median line. sion immediately above the anal cleft. GV1 GV2coccyx anus sacral hiatus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 205",,,,,
GV,GV3,Yaoyangguan,"腰陽(阳)關(关,関)","In the lumbar region, in the depression inferior to the spinous process of the fourth lumbar vertebra (L4), on the posterior median line. the highest points of the iliac crests and the spinous process of the fourth lumbar verte-bra (L4) can then be found at the midpoint of the highest points of both iliac crests.",,,,,
GV,GV4,Mingmen,命門(门),"In the lumbar region, in the depression inferior to the spinous process of the sec-ond lumbar vertebra (L2), on the posterior median line. GV3 GV4iliac crest governor Vessel 206",,,,,
GV,GV5,Xuanshu,懸(悬)樞(枢),"In the lumbar region, in the depression inferior to the spinous process of the first lumbar vertebra (L1), on the posterior median line.",,,,,
GV,GV6,Jizhong,脊中,"In the upper back region, in the depression inferior to the spinous process of the 11th thoracic vertebra (T11), on the posterior median line.GV5 GV6 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 207",,,,,
GV,GV7,Zhongshu,中樞(枢),"In the upper back region, in the depression inferior to the spinous process of the tenth thoracic vertebra (T10), on the posterior median line.",,,,,
GV,GV8,Jinsuo,筋縮(缩),"In the upper back region, in the depression inferior to the spinous process of the ninth thoracic vertebra (T9), on the posterior median line.GV7 GV8 governor Vessel 208",,,,,
GV,GV9,Zhiyang,至陽(阳),"In the upper back region, in the depression inferior to the spinous process of the sev-enth thoracic vertebra (T7), on the poste - rior median line. spinous process of the seventh thoracic vertebra (T7) which is at the intersection of two imaginary lines: the posterior midline and the horizontal line of the inferior bor-der of the inferior angle of the scapula.",,,,,
GV,GV10,Lingtai,"靈(灵,霊)臺(台)","In the upper back region, in the depression inferior to the spinous process of the sixth thoracic vertebra (T6), on the posterior median line. GV9 GV10inferior angle of the scapula WHO Standard aCUPUnCtUrE POInt LOCat IOnS 209",,,,,
GV,GV11,Shendao,神(神)道(道),"In the upper back region, in the depression inferior to the spinous process of the fifth thoracic vertebra (T5), on the posterior median line.",,,,,
GV,GV12,Shenzhu,身柱,"In the upper back region, in the depression inferior to the spinous process of the third thoracic vertebra (T3), on the posterior median line. spinous process of the third thoracic verte-bra (T3) which is at the intersection of two imaginary lines: the posterior median line and the horizontal line of the medial end of the spine of the scapula. GV11 GV12spine of the scapula governor Vessel 210",,,,,
GV,GV13,Taodao,陶道(道),"In the upper back region, in the depression inferior to the spinous process of the first thoracic vertebra (T1), on the posterior median line.",,,,,
GV,GV14,Dazhui,大椎,"In the posterior region of the neck, in the depression inferior to the spinous process of the seventh cervical vertebra (C7), on the posterior median line. position while the subject is seated, the most prominent site on the posterior aspect of the neck is the spinous process of the seventh cervical vertebra (C7). Forward flexion of the neck may facilitate palpation of the C7 spinous process. pated by rotating the head with the neck slightly flexed.GV13 GV14 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 211",,,,,
GV,GV15,Yamen,瘂(哑)門(门),"In the posterior region of the neck, in the depression superior to the spinous process of the second cervical vertebra (C2), on the posterior median line. cated 0.5 B-cun inferior to GV16.",,,,,
GV,GV16,Fengfu,風(风)府,"In the posterior region of the neck, directly inferior to the external occipital protuber-ance, in the depression between the trape-zius muscles. the seated position, loosen the trapezius muscle, then move superiorly from the midpoint of the posterior hairline to the oc-cipital bone, gV16 will be found.GV15 GV16spinous process of the secondcervical vertebra(C2) posterior hairlinetrapeziusmuscle trapeziusmuscleexternal occipitalprotuberance governor Vessel 212",,,,,
GV,GV17,Naohu,"腦(脑,脳)戶","On the head, in the depression superior to the external occipital protuberance. the intersection of two imaginary lines: the vertical line of the posterior median line and the horizontal line of the superior bor-der of the external occipital protuberance, at the same level as BL9.",,,,,
GV,GV18,Qiangjian,強間(间),"On the head, 4 B-cun superior to the poste- rior hairline, on the posterior median line. B-cun superior to gV17. GV17 GV18external occipitalprotuberance posteriorhairline WHO Standard aCUPUnCtUrE POInt LOCat IOnS 213",,,,,
GV,GV19,Houding,後(后)頂(顶),"On the head, 5.5 B-cun superior to the pos - terior hairline, on the posterior median line.Note: GV19 is located 1.5 B-cun posterior to gV20.",,,,,
GV,GV20,Baihui,百會(会),"On the head, 5 B-cun superior to the ante - rior hairline, on the anterior median line.Note 1: GV20 is located in the depression 1 B-cun anterior to the midpoint of the line from the anterior hairline to the posterior hairline. located at the midpoint of the connecting line between the auricular apices.  GV19 GV20posterior hairline auricularapex governor Vessel 214",,,,,
GV,GV21,Qianding,前頂(顶),"On the head, 3.5 B-cun superior to the an - terior hairline, on the anterior median line.Note: GV21 is located at the midpoint of the line connecting gV20 and gV22.",,,,,
GV,GV22,Xinhui,顖(囟)會(会),"On the head, 2 B-cun superior to the ante- rior hairline, on the anterior median line.GV21 GV22anterior hairline WHO Standard aCUPUnCtUrE POInt LOCat IOnS 215",,,,,
GV,GV23,Shangxing,上星,"On the head, 1 B-cun superior to the ante- rior hairline, on the anterior median line.",,,,,
GV,GV24,Shenting,神(神)庭,"On the head, 0.5 B-cun superior to the an - terior hairline, on the anterior median line. Note: When the anterior hairline is unclear or changed, GV 24 is located 3.5 B-cun su - perior to the midpoint between the medial ends of the eyebrows. GV23 GV24anterior hairline anteriorhairline governor Vessel 216",,,,,
GV,GV25,Suliao,素髎(髎),"On the face, at the tip of the nose.",,,,,
GV,GV26,Shuigou,水溝(沟),"On the face, at the midpoint of the philtrum midline. Remarks: Alternative location for GV26 - at the junction of the upper one third and lower two thirds of the philtrum midline.GV25 GV26philtrum WHO Standard aCUPUnCtUrE POInt LOCat IOnS 217",,,,,
GV,GV27,Duiduan,兌(兑)端,"On the face, at the midpoint of the tubercle of the upper lip.",,,,,
GV,GV28,Yinjiao,齦(龈)交,"On the face, at the junction of the frenulum of the upper lip with the upper gum. posture and the upper lip lifted, gV28 is located at the junction of the frenulum of the upper lip with the upper gum. GV27 GV28upper gumfrenulum of the upper lip WHO Standard aCUPUnCtUrE POInt LOCat IOnS 219 COnCEPtIOn VESSEL 任脈(脉) Conception Vessel 220",,,,,
CV,CV1,Huiyin,會(会)陰(阴),"In the perineal region, at the midpoint of the line connecting the anus with the poste-rior border of the scrotum in males and the posterior commissure of labium majoris in females. anus and the genital organ, with the subject lying on the side or in knee-chest position.",,,,,
CV,CV2,Qugu,曲骨(骨),"On the lower abdomen, superior to the pu- bic symphysis, on the anterior median line.CV1 CV2anus anus pubic symphysis WHO Standard aCUPUnCtUrE POInt LOCat IOnS 221",,,,,
CV,CV3,Zhongji,中極(极),"On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, on the anterior median line.",,,,,
CV,CV4,Guanyuan,"關(关,関)元","On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, on the anterior median line. CV3 CV4 Conception Vessel 222",,,,,
CV,CV5,Shimen,石門(门),"On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, on the anterior median line.",,,,,
CV,CV6,Qihai,"氣(气,気)海(海)","On the lower abdomen, 1.5 B-cun inferior to the centre of the umbilicus, on the ante-rior median line. CV5 CV6 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 223",,,,,
CV,CV7,Yinjiao,陰(阴)交,"On the lower abdomen, 1 B-cun inferior to the centre of the umbilicus, on the anterior median line.",,,,,
CV,CV8,Shenque,神(神)闕(阙),"On the upper abdomen, in the centre of the umbilicus.CV7 CV8 Conception Vessel 224",,,,,
CV,CV9,Shuifen,水分,"On the upper abdomen, 1 B-cun superior to the centre of the umbilicus, on the anterior median line.",,,,,
CV,CV10,Xiawan,下脘,"On the upper abdomen, 2 B-cun superior to the centre of the umbilicus, on the anterior median line. CV9 CV10 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 225",,,,,
CV,CV11,Jianli,建里,"On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, on the anterior median line.",,,,,
CV,CV12,Zhongwan,中脘,"On the upper abdomen, 4 B-cun superior to the centre of the umbilicus, on the anterior median line. the line connecting the xiphisternal junc-tion and the centre of umbilicus.CV11 CV12xiphisternal junction Conception Vessel 226",,,,,
CV,CV13,Shangwan,上脘,"On the upper abdomen, 5 B-cun superior to the centre of the umbilicus, on the anterior median line.",,,,,
CV,CV14,Juque,巨闕(阙),"On the upper abdomen, 6 B-cun superior to the centre of the umbilicus, on the anterior median line. CV13 CV14 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 227",,,,,
CV,CV15,Jiuwei,鳩(鸠)尾,"On the upper abdomen, 1 B-cun inferior to the xiphisternal junction, on the anterior median line.",,,,,
CV,CV16,Zhongting,中庭,"In the anterior thoracic region, at the mid- point of the xiphisternal junction, on the anterior median line.CV15 CV16xiphisternal junction xiphisternaljunction Conception Vessel 228",,,,,
CV,CV17,Danzhong,膻中,"In the anterior thoracic region, at the same level as the fourth intercostal space, on the anterior median line.",,,,,
CV,CV18,Yutang,玉堂,"In the anterior thoracic region, at the same level as the third intercostal space, on the anterior median line.CV17 CV18 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 229",,,,,
CV,CV19,Zigong,紫宮(宫),"In the anterior thoracic region, at the same level as the second intercostal space, on the anterior median line.",,,,,
CV,CV20,Huagai,華(华)蓋(盖),"In the anterior thoracic region, at the same level as the first intercostal space, on the anterior median line.CV19 CV20 Conception Vessel 230",,,,,
CV,CV21,Xuanji,璇璣(玑),"In the anterior thoracic region, 1 B-cun inferior to the suprasternal fossa, on the anterior median line. CV22.",,,,,
CV,CV22,Tiantu,天突,"In the anterior region of the neck, in the centre of the suprasternal fossa, on the anterior median line. midway between the medial ends of each clavicle.CV21 CV22suprasternal fossa suprasternalfossaclavicle WHO Standard aCUPUnCtUrE POInt LOCat IOnS 231",,,,,
CV,CV23,Lianquan,廉泉,"In the anterior region of the neck, superior to superior border to thyroid cartilage, in the depression superior to the hyoid bone, on the anterior median line. hyoid tubercle can be palpated between the mandible and the thyroid cartilage.",,,,,
